1,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Sensuntepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2298,1471,450,2879
2,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Ilobasco,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2448,1807,2966,763
3,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Victoria,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1724,1421,1183,1034
4,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,San Isidro,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,583,1747,895,130
5,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Jutiapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,31,2576,602,1832
6,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Tejutepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,883,2129,2947,896
7,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Dolores,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1160,139,1879,2545
8,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Cinquera,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,689,275,263,2934
9,Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Guacotecti,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,49,678,1521,895
10,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Chalatenango,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,904,2060,693,243
11,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nueva Concepción,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2807,1986,1752,2304
12,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Palma,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,819,2541,2503,1044
13,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Tejutla,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1732,2080,2113,2811
14,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Reina,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,970,1661,2958,2878
15,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Arcatao,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1708,542,1376,1277
16,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Ignacio,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,101,2785,2374,1162
17,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Dulce Nombre de María,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1972,2691,1734,1002
18,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Citalá,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,913,2804,2298,2872
19,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Agua Caliente,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,384,418,2953,833
20,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Concepción Quezaltepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2734,1018,1300,2708
21,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nueva Trinidad,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,20,494,130,1711
22,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Las Vueltas,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1841,847,2261,13
23,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Comalapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,284,1172,390,1426
24,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Rafael,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2960,565,151,157
25,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San José Las Flores,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1032,824,1788,804
26,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Ojos de Agua,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,191,2018,1752,763
27,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nombre de Jesús,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2278,271,2903,2364
28,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Potonico,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2048,2129,542,1786
29,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Francisco Morazán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1907,1013,81,195
30,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Santa Rita,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,851,1271,1611,2451
31,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Laguna,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,474,1757,1373,230
32,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Isidro Labrador,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2284,1372,1314,609
33,Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Antonio de La Cruz,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,646,2719,1035,1728
